position,count,lng,lat
高桥镇凌桥村赵家浜东,1,121.54355032051281,31.372859025940794
高桥镇陆凌村宋家宅,2,121.57010962122082,31.352399705849844
高桥镇陆凌村西凌家宅,7,121.58173863520024,31.35356684063773
高桥镇南塘村顾家宅,11,121.5746809183,31.34539427690696
高桥镇南塘村姚家宅,4,121.5746809183,31.34539427690696
高桥镇三岔港村草高路宅,1,121.51877191047834,31.380404513349472
高桥镇西浜头,9,121.61563583429707,31.292504199206448
高青路2861弄,2,121.5351632911189,31.16700069132616
高青路4567弄,5,121.56932935305485,31.17695528644673
龚丰路576弄,2,121.69971210968959,31.26432959347796
龚华路35弄,1,121.68969249986185,31.276768922424957
龚华路50弄,3,121.69003340680287,31.27343256789329
拱川路411弄,3,121.75254751968856,31.06944063428943
拱海路79弄,3,121.7468341625043,31.075214482134594
古棕路168弄,5,121.9238777819049,30.890266510779377
顾唐路138弄,2,121.6630632211546,31.27006947290979
崮山路717号,2,121.56675642641318,31.2457458744099
广兰路1166弄,1,121.62744468903956,31.208807181609473
归昌路351弄,1,121.60726236931635,31.283590563128364
桂桥路25号,1,121.61043617251366,31.24687281989013
海港大道美人蕉路交界口工地生活区,2,121.894828827476,30.900192727463445
海基三路海洋四路交界口工地生活区,2,121.894828827476,30.900192727463445
海鸣路98弄,9,121.6775482178419,31.28862783374773
海鹏路380弄,5,121.68196644366218,31.295564012666382
海鹏路529弄,1,121.67682840563677,31.294185087870826
海阳路1080弄,6,121.51343947914056,31.16413535922777
海阳路612弄,2,121.50209019749695,31.160427107031765
海阳路815弄,2,121.50805782066084,31.16317852955025
海阳路云台路交界口工地生活区,1,121.51031939461275,31.18259602751104
涵林路渡口路交界口工地生活区,1,121.48646282569261,31.144501633571082
航昌路376弄,2,121.61600563367652,31.08007345476723
航昌路489弄,2,121.61637509481649,31.080440873866234
航都南路29弄,2,121.48053886017651,31.235929042252014
航鹤路999弄,2,121.59169545347284,31.048115761336824
航梅路526弄,3,121.58850314518202,31.028756108026393
航瑞路175弄,2,121.59901818261521,31.0767047677011
航头镇福善村飞桥,2,121.61739034083945,31.05635955445544
航头镇航东村,5,121.60773721360891,31.03214843823002
航头镇鹤鸣村,1,121.60056208817852,31.050200132685855
航头镇沈庄村大桥,1,121.57493271782597,31.081014986360636
航绣路51弄,1,121.60439363067024,31.076577146786715
合庆镇蔡路村包家宅,1,121.73746429705191,31.219746024972316
